"team","scenario","elimination_date"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0","2019-01-18"
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
"EPFL","S0",NA
