"","team","scenario","time_frame","pr_elim_thresh1","pr_resurg_thresh1","pr_elim_thresh2","pr_resurg_thresh2","cum_inf_med","cum_inf_low","cum_inf_hi"
"1","IDM",0,3,0,NA,0,NA,2947812,2575932,3142590
"2","IDM",0,5,0,NA,0,NA,4689772,4503356,4987412
"3","IDM",0,10,0,NA,0,NA,9583361,9263309,9804108
"4","IDM",1,3,0.344827586206897,0,0.206896551724138,0,925520,693947,1215853
"5","IDM",1,5,0.344827586206897,0,0.344827586206897,0,1958053,736592,2779155
"6","IDM",1,10,0.344827586206897,0,0.344827586206897,0,8380008,736592,8856847
"7","IDM",2,3,0,NA,0,NA,2580317,2256864,2787029
"8","IDM",2,5,0,NA,0,NA,4073568,3668460,4334752
"9","IDM",2,10,0,NA,0,NA,9296313,8990792,9598833
"10","IDM",3,3,0,NA,0,NA,2070380,1643890,2303981
"11","IDM",3,5,0,NA,0,NA,2949218,2258200,3124218
"12","IDM",3,10,0,NA,0,NA,8158463,7943435,8468135
"13","IDM",4,3,0,NA,0,NA,1821708,1528451,1984970
"14","IDM",4,5,0,NA,0,NA,3315617,2977184,3738954
"15","IDM",4,10,0,NA,0,NA,8957498,8674270,9279626
"16","IDM",5,3,0.689655172413793,0,0.517241379310345,0,906158,655312,1182130
"17","IDM",5,5,0.724137931034483,0,0.689655172413793,0,943225,655312,1531036
"18","IDM",5,10,0.724137931034483,0,0.724137931034483,0,943225,655312,4166450
"19","IDM",6,3,0,NA,0,NA,2557165,2307331,2780692
"20","IDM",6,5,0,NA,0,NA,3994113,3657858,4334666
"21","IDM",6,10,0,NA,0,NA,8080485,7815324,8344947
"22","IDM",7,3,0,NA,0,NA,2069513,1742297,2342115
"23","IDM",7,5,0.0689655172413793,0,0,NA,2583481,2221235,2825978
"24","IDM",7,10,0.0689655172413793,0,0.0689655172413793,0,4489734,2417338,4864745
"25","IDM",8,3,0,NA,0,NA,1766310,1417252,2027599
"26","IDM",8,5,0,NA,0,NA,2784840,2509702,3044251
"27","IDM",8,10,0,NA,0,NA,6068774,5841663,6400212
"28","IDM",25,3,0.931034482758621,0,0.758620689655172,0,850071,636601,1148905
"29","IDM",25,5,0.931034482758621,0,0.931034482758621,0,850084,636601,1148905
"30","IDM",25,10,0.931034482758621,0,0.931034482758621,0,863783,636601,8285617
