"team","scenario","time_frame","pr_elim_thresh1","pr_resurg_thresh1","pr_elim_thresh2","pr_resurg_thresh2","cum_inf_med","cum_inf_low","cum_inf_hi"
"EPFL","S0",3,0.041,0,0.041,0,511610,0,610952.575
"EPFL","S0",5,0.041,0,0.041,0,1065839.5,0,1158773.75
"EPFL","S0",10,0.041,0,0.041,0,2037635.5,0,2145052.475
"EPFL","S1",3,1,0,1,0,57415.5,0,108412.95
"EPFL","S1",5,1,0,1,0,57415.5,0,108412.95
"EPFL","S1",10,1,0,1,0,57415.5,0,108412.95
"EPFL","S2",3,0.095,0.0210526315789474,0.093,0,244156,0,337559.25
"EPFL","S2",5,0.096,0,0.096,0,702866.5,0,791813.125
"EPFL","S2",10,0.096,0,0.096,0,1884404.5,0,1976544.875
"EPFL","S3",3,0.83,0.0385542168674699,0.784,0,144856.5,0,221615.05
"EPFL","S3",5,0.98,0.0336734693877551,0.944,0,147089.5,0,289302.4
"EPFL","S3",10,0.989,0,0.989,0,147089.5,0,299971.075
"EPFL","S4",3,0.457,0.0240700218818381,0.444,0,122774.5,0,234739.9
"EPFL","S4",5,0.482,0,0.482,0,444719.5,0,612042.625
"EPFL","S4",10,0.482,0,0.482,0,1679860,0,1843870.9
"EPFL","S25",3,1,0,1,0,56412.5,0,102677.35
"EPFL","S25",5,1,0,1,0,56412.5,0,102677.35
"EPFL","S25",10,1,0,1,0,56412.5,0,102677.35
